problem,size,method,instance_seed,hv_ratio,num_nondominated,wallclock_sec,num_evals
Bi-KP,100,D&L,120011,0.2991533804607745,7,24.435376111010555,1680
Bi-KP,100,D&L-TS,120011,0.2432100380403217,3,24.302602875977755,1680
Bi-KP,100,WS-heuristic,120011,0.8470747672842769,9,0.06102489895420149,2912
Bi-KP,100,NSGA-II,120011,0.6170789009643509,1,0.47183623898308724,2400
Bi-KP,100,BO,120011,0.18554834051058797,7,2.7525213029584847,396
Bi-KP,100,D&L,120012,0.27342745289943726,4,25.50519214104861,1680
Bi-KP,100,D&L-TS,120012,0.17037191093711768,4,27.217360954964533,1680
Bi-KP,100,WS-heuristic,120012,0.862931734768779,8,0.0613031989778392,2912
Bi-KP,100,NSGA-II,120012,0.6129894788353315,7,0.4421987980022095,2400
Bi-KP,100,BO,120012,0.139908000978713,6,2.9440680560073815,396
Bi-KP,100,D&L,120013,0.3031201639352021,3,27.436777396011166,1680
Bi-KP,100,D&L-TS,120013,0.18654254790514097,5,24.534144143981393,1680
Bi-KP,100,WS-heuristic,120013,0.9062001012763662,7,0.05956376501126215,2912
Bi-KP,100,NSGA-II,120013,0.8040477418683123,4,0.4526883579674177,2400
Bi-KP,100,BO,120013,0.2075114882420032,3,2.8030494570266455,396
Bi-KP,100,D&L,120014,0.29564160597191025,5,29.555359669961035,1680
Bi-KP,100,D&L-TS,120014,0.20663208389112003,3,27.86582363198977,1680
Bi-KP,100,WS-heuristic,120014,0.8639142256407929,8,0.14923417300451547,2712
Bi-KP,100,NSGA-II,120014,0.656011049849114,5,0.7832339919987135,2400
Bi-KP,100,BO,120014,0.15928639227342514,4,2.8870489739929326,396
Bi-TSP,20,D&L,50000,0.2215035554186968,1,7.313984528998844,1680
Bi-TSP,20,D&L-TS,50000,0.2366836775448892,2,7.1980555869522505,1680
Bi-TSP,20,WS-heuristic,50000,0.7458798959671509,7,0.24565096601145342,5622
Bi-TSP,20,NSGA-II,50000,0.573452511867099,7,0.46179511497030035,1600
Bi-TSP,20,BO,50000,0.25839591429135056,3,2.371693662018515,396
Bi-TSP,20,D&L,50001,0.21034172228690176,4,7.445678279967979,1680
Bi-TSP,20,D&L-TS,50001,0.13670223318431285,4,8.240131490980275,1680
Bi-TSP,20,WS-heuristic,50001,0.7501084930006098,8,0.22034132102271542,5282
Bi-TSP,20,NSGA-II,50001,0.5148266088683361,5,0.5071643859846517,1600
Bi-TSP,20,BO,50001,0.26076249836816295,4,2.6768304230063222,396
Bi-TSP,20,D&L,50002,0.24196285612425433,1,7.821630657999776,1680
Bi-TSP,20,D&L-TS,50002,0.25927675793517163,3,6.775355662975926,1680
Bi-TSP,20,WS-heuristic,50002,0.716960770377695,7,0.23934430198278278,5282
Bi-TSP,20,NSGA-II,50002,0.6184663959407701,6,0.4391271169879474,1600
Bi-TSP,20,BO,50002,0.26718712687168594,4,2.706545978959184,396
Bi-TSP,20,D&L,50003,0.1869148034954246,4,6.963661661022343,1680
Bi-TSP,20,D&L-TS,50003,0.14577808373733528,4,6.258104348031338,1680
Bi-TSP,20,WS-heuristic,50003,0.7589671501928671,6,0.19434673903742805,5452
Bi-TSP,20,NSGA-II,50003,0.6177912567435024,5,0.4351534229936078,1600
Bi-TSP,20,BO,50003,0.2577576460375486,3,2.8613799780141562,396
Bi-TSP,20,D&L,50004,0.17152332480241245,4,8.21481723501347,1680
Bi-TSP,20,D&L-TS,50004,0.28237931509477804,1,6.7965077650151215,1680
Bi-TSP,20,WS-heuristic,50004,0.8358437262045442,6,0.1885460939956829,5282
Bi-TSP,20,NSGA-II,50004,0.5434026483506709,5,0.4025717939948663,1600
Bi-TSP,20,BO,50004,0.2383529222368767,5,2.0002436920185573,396
Bi-TSP,20,D&L,50005,0.13307190959011744,4,6.111522341961972,1680
Bi-TSP,20,D&L-TS,50005,0.09439246024051745,3,6.072444595978595,1680
Bi-TSP,20,WS-heuristic,50005,0.7947682246138147,7,0.19470899901352823,4772
Bi-TSP,20,NSGA-II,50005,0.4778678607324794,4,0.43679706897819415,1600
Bi-TSP,20,BO,50005,0.19659097020142324,4,1.894674816983752,396
Bi-TSP,20,D&L,50006,0.1511182378280161,5,6.128536422969773,1680
Bi-TSP,20,D&L-TS,50006,0.16349664225058308,4,6.099697847967036,1680
Bi-TSP,20,WS-heuristic,50006,0.7281937895245131,8,0.15275857300730422,4772
Bi-TSP,20,NSGA-II,50006,0.5141615507428283,3,0.5003375899977982,1600
Bi-TSP,20,BO,50006,0.1903992211241318,4,2.504268759978004,396
Bi-TSP,20,D&L,50007,0.21231496118665033,1,8.09675933897961,1680
Bi-TSP,20,D&L-TS,50007,0.22410035328400443,2,8.42716250900412,1680
Bi-TSP,20,WS-heuristic,50007,0.7950076063412475,6,0.1812172729987651,4602
Bi-TSP,20,NSGA-II,50007,0.5475476149569587,10,0.5066461269743741,1600
Bi-TSP,20,BO,50007,0.24168278510371283,4,2.983136796974577,396
Bi-TSP,20,D&L,50008,0.14410540990061851,1,7.264926775009371,1680
Bi-TSP,20,D&L-TS,50008,0.15909217918798488,3,6.693161331000738,1680
Bi-TSP,20,WS-heuristic,50008,0.7369172834222465,8,0.19969576998846605,5282
Bi-TSP,20,NSGA-II,50008,0.39072124787608137,3,0.49155029701069,1600
