problem,size,method,instance_seed,hv_ratio,num_nondominated,wallclock_sec,num_evals
Bi-TSP,16,WS-heuristic,57007,0.8196980379764173,8,0.058394484978634864,2612
Bi-TSP,16,NSGA-II,57007,0.7940385268590104,8,0.3705395309953019,2400
Bi-TSP,16,BO,57007,0.28962368031925945,4,0.9055515989894047,396
Bi-TSP,16,D&L,57008,0.1759769918187307,5,4.87593364296481,1680
Bi-TSP,16,D&L-TS,57008,0.24838864274943112,2,3.635609319957439,1680
Bi-TSP,16,WS-heuristic,57008,0.7618280565006628,5,0.0574548440054059,2716
Bi-TSP,16,NSGA-II,57008,0.6876307749644626,4,0.38551149499835446,2400
Bi-TSP,16,BO,57008,0.2230782203170007,3,0.8497288840007968,396
Bi-TSP,16,D&L,57009,0.22820925578112333,5,3.7295729920151643,1680
Bi-TSP,16,D&L-TS,57009,0.29659218657356146,4,3.803562437009532,1680
Bi-TSP,16,WS-heuristic,57009,0.8054045468349661,9,0.06266311003128067,2820
Bi-TSP,16,NSGA-II,57009,0.7013162315023332,4,0.3759172699647024,2400
Bi-TSP,16,BO,57009,0.31119451150932037,3,1.0912995330290869,396
Bi-TSP,32,D&L,73000,0.11521222909343098,3,7.422554142016452,1680
Bi-TSP,32,D&L-TS,73000,0.09343544571884825,5,8.463105024013203,1680
Bi-TSP,32,WS-heuristic,73000,0.7413937980889397,9,0.4920218840125017,12540
Bi-TSP,32,NSGA-II,73000,0.29700347835577223,4,0.6766476040356793,2400
Bi-TSP,32,BO,73000,0.17801137740858264,2,1.634894437971525,396
Bi-TSP,32,D&L,73001,0.1805414796645019,3,7.7046339369844645,1680
Bi-TSP,32,D&L-TS,73001,0.14412942220063335,3,10.023374258016702,1680
Bi-TSP,32,WS-heuristic,73001,0.835387149099286,8,0.5508695819880813,12540
Bi-TSP,32,NSGA-II,73001,0.4579591416390276,7,0.7925261869677342,2400
Bi-TSP,32,BO,73001,0.18000159436238725,2,2.115366237994749,396
Bi-TSP,32,D&L,73002,0.11507972349000355,5,10.730148672999348,1680
Bi-TSP,32,D&L-TS,73002,0.12609368306789412,4,8.38195012504002,1680
Bi-TSP,32,WS-heuristic,73002,0.755953835953217,9,0.5894782310351729,15324
Bi-TSP,32,NSGA-II,73002,0.4036669711696328,6,0.5888685890240595,2400
Bi-TSP,32,BO,73002,0.15491265753834832,4,1.5918222960317507,396
Bi-TSP,32,D&L,73003,0.09499662210804515,6,9.111131138983183,1680
Bi-TSP,32,D&L-TS,73003,0.13941563634580822,3,8.815142126986757,1680
Bi-TSP,32,WS-heuristic,73003,0.7971551788305964,6,0.389728270994965,14860
Bi-TSP,32,NSGA-II,73003,0.4667110766933663,5,0.44402431504568085,2400
Bi-TSP,32,BO,73003,0.11974732353235497,4,1.1943108989507891,396
Bi-TSP,32,D&L,73004,0.08348943871330608,4,8.299685097008478,1680
Bi-TSP,32,D&L-TS,73004,0.08319099688175835,5,11.947881945001427,1680
Bi-TSP,32,WS-heuristic,73004,0.7623891444946018,9,0.5124965909635648,13932
Bi-TSP,32,NSGA-II,73004,0.3721011976252129,4,0.6493140229722485,2400
Bi-TSP,32,BO,73004,0.11162320607857519,3,2.3178298140410334,396
Bi-TSP,32,D&L,73005,0.12279591810495208,5,11.52365959098097,1680
Bi-TSP,32,D&L-TS,73005,0.09026697692913356,5,10.23722023202572,1680
Bi-TSP,32,WS-heuristic,73005,0.7637938609675838,7,0.5020845079561695,14396
Bi-TSP,32,NSGA-II,73005,0.3864310818038033,9,0.610392683011014,2400
Bi-TSP,32,BO,73005,0.1438950067423361,4,3.3972948170267045,396
Bi-TSP,32,D&L,73006,0.09084613994194775,2,12.15557937999256,1680
Bi-TSP,32,D&L-TS,73006,0.08205030477412019,5,12.814410666993354,1680
Bi-TSP,32,WS-heuristic,73006,0.7964411582444875,8,0.4771480929921381,11148
Bi-TSP,32,NSGA-II,73006,0.3517038808041963,3,0.7189402289805003,2400
Bi-TSP,32,BO,73006,0.11986555529842555,2,1.9677744560176507,396
Bi-TSP,32,D&L,73007,0.12696065858257585,3,9.846632756001782,1680
Bi-TSP,32,D&L-TS,73007,0.10881655041010183,3,10.195190777012613,1680
Bi-TSP,32,WS-heuristic,73007,0.8217526420826832,9,0.5420204399852082,13468
Bi-TSP,32,NSGA-II,73007,0.3554331724869429,5,0.6660238039912656,2400
Bi-TSP,32,BO,73007,0.18950560536512287,3,2.437434788036626,396
Bi-TSP,32,D&L,73008,0.09003563536168145,4,9.94841254799394,1680
Bi-TSP,32,D&L-TS,73008,0.09177389829282562,3,8.20720554998843,1680
Bi-TSP,32,WS-heuristic,73008,0.7481297301322588,8,0.281290554034058,13004
Bi-TSP,32,NSGA-II,73008,0.38112290720929964,7,0.38437619199976325,2400
Bi-TSP,32,BO,73008,0.12523999631034222,3,0.8340903290081769,396
Bi-TSP,32,D&L,73009,0.09925218789081618,4,7.326417366042733,1680
Bi-TSP,32,D&L-TS,73009,0.08731404816296799,4,7.498376125993673,1680
Bi-TSP,32,WS-heuristic,73009,0.7532598218156752,9,0.5974837830290198,14860
Bi-TSP,32,NSGA-II,73009,0.3978802487238263,5,0.6739104900043458,2400
Bi-TSP,32,BO,73009,0.12046733681251977,4,2.462484884017613,396
