condition,rep,T_n,T_n_pruned,pruned_dim,E_val
H1_str0.5,13,1073.828857421875,1035.4503173828125,9,0.9999969601631165
H1_str0.5,14,1316.61474609375,1276.9415283203125,9,0.9999976754188538
H1_str0.5,15,1118.222412109375,1112.0347900390625,9,0.9999992847442627
H1_str0.5,16,1217.244384765625,1213.05078125,9,0.9999949932098389
H1_str0.5,17,1275.6170654296875,1247.70703125,9,0.9999935030937195
H1_str0.5,18,1235.668701171875,1194.0679931640625,9,0.9999964237213135
H1_str0.5,19,998.7718505859375,983.9609985351562,9,0.9999972581863403
H1_str0.5,20,1185.166015625,1182.0250244140625,9,0.9999992251396179
H1_str0.5,21,1160.2105712890625,1159.9510498046875,9,0.9999986290931702
H1_str0.5,22,1225.114501953125,1199.7177734375,9,0.9999953508377075
H1_str0.5,23,1207.7015380859375,1173.2490234375,9,0.999998927116394
H1_str0.5,24,1236.2027587890625,1235.61083984375,9,0.9999949336051941
H1_str0.5,25,1143.4912109375,1143.0914306640625,9,0.9999986886978149
H1_str0.5,26,1205.123291015625,1176.8089599609375,9,0.9999982118606567
H1_str0.5,27,1085.945556640625,1080.5369873046875,9,0.9999976754188538
H1_str0.5,28,1070.1923828125,1059.96435546875,9,0.9999943375587463
H1_str0.5,29,1276.01806640625,1276.0146484375,9,0.9999975562095642
