variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A2,maxcut,14,3,0.1,15,1,4,0.8980235376727654,0.9967716339447655,0.8980235376727654,,37,3891,0.041681528091430664
A2,maxcut,14,5,0.1,0,0,4,0.852380782957575,0.9629097077312626,0.8564978112718035,0.8564978112718035,37,9666,0.257659912109375
A2,maxcut,14,5,0.1,0,1,4,0.9204963887394788,0.9739204289002988,0.9191309418274705,,37,11813,0.30046987533569336
A2,maxcut,14,5,0.1,1,0,4,0.7921437150167949,0.946552217599321,0.826625813736546,0.842187210892786,37,9513,0.35309481620788574
A2,maxcut,14,5,0.1,1,1,4,0.7921437150167949,0.9518479682206081,0.8478328089869384,,37,11276,0.36275506019592285
A2,maxcut,14,5,0.1,2,0,4,0.7857562616164178,0.945393355706526,0.7804689488043193,0.7950549954106191,37,9746,0.34586310386657715
A2,maxcut,14,5,0.1,2,1,4,0.7745793796976903,0.9258122161392948,0.8011306622500552,,37,11209,0.35921621322631836
A2,maxcut,14,5,0.1,3,0,4,0.7777079126057439,0.931491259584007,0.7588390699193246,0.8188305176754711,37,9668,0.3210783004760742
A2,maxcut,14,5,0.1,3,1,4,0.784233803004008,0.9679370544356437,0.7800644775964051,,37,10679,0.3405728340148926
A2,maxcut,14,5,0.1,4,0,4,0.8626820394515766,0.9789240955502776,0.8683715373526146,0.8798700421652207,37,10025,0.3929929733276367
A2,maxcut,14,5,0.1,4,1,4,0.8725833695310803,0.9860759526934713,0.8888919703509622,,37,11295,0.4086587429046631
A2,maxcut,14,5,0.1,5,0,4,0.741847995930554,0.9621374732494872,0.7547577482527235,0.7758010540941689,37,9471,0.4112675189971924
A2,maxcut,14,5,0.1,5,1,4,0.8050402031347534,0.943959851452868,0.8069688168247985,,37,11044,0.36051273345947266
A2,maxcut,14,5,0.1,6,0,4,0.9124605040005204,0.9545898405388389,0.8345715178519983,0.8665127066737537,37,9779,0.36205577850341797
A2,maxcut,14,5,0.1,6,1,4,0.8895555346839037,0.975622263236781,0.8288452755228441,,37,11903,0.3399772644042969
A2,maxcut,14,5,0.1,7,0,4,0.7264589581478171,0.9710645494224895,0.7903826359559281,0.843558635002787,37,10124,0.38611793518066406
A2,maxcut,14,5,0.1,7,1,4,0.7264589581478171,0.9629954525829063,0.7985232141607372,,37,12414,0.3737213611602783
A2,maxcut,14,5,0.1,8,0,4,0.6977187685075498,0.9475335712643582,0.7449674946660089,0.782117757070891,37,9953,0.3287196159362793
A2,maxcut,14,5,0.1,8,1,4,0.7887388318574211,0.9808454180257339,0.8040619826072438,,37,11510,0.3399209976196289
A2,maxcut,14,5,0.1,9,0,4,0.7306756579307113,0.9330470092312027,0.752922201042233,0.77312599042392,37,10063,0.38371753692626953
A2,maxcut,14,5,0.1,9,1,4,0.7306756579307113,0.9595828123089002,0.7720737340006549,,37,11579,0.37192296981811523
A2,maxcut,14,5,0.1,10,0,4,0.7226651699318535,0.9322283486772346,0.8039201404992101,0.8082299701282697,37,9194,0.3418910503387451
A2,maxcut,14,5,0.1,10,1,4,0.7226651699318535,0.9558896949776278,0.8082299701282697,,37,11295,0.3622400760650635
A2,maxcut,14,5,0.1,11,0,4,0.7461598853074842,0.9772564593846749,0.8533928221641343,0.8696271992868633,37,9219,0.37137627601623535
A2,maxcut,14,5,0.1,11,1,4,0.7461598853074842,0.9771107981070889,0.8533928221641343,,37,11646,0.3579738140106201
A2,maxcut,14,5,0.1,12,0,4,0.6754925339338181,0.8737025462039381,0.7222373802524624,0.7608924343788902,37,8968,0.43483757972717285
A2,maxcut,14,5,0.1,12,1,4,0.6754925339338181,0.9531773858240569,0.7545879258660678,,37,10643,0.3271782398223877
A2,maxcut,14,5,0.1,13,0,4,0.8181831331672955,0.9684083233579747,0.841184205381585,0.8692567300285522,37,9744,0.3475532531738281
A2,maxcut,14,5,0.1,13,1,4,0.8181831331672955,0.9761964944859068,0.841184205381585,,37,10808,0.3529989719390869
A2,maxcut,14,5,0.1,14,0,4,0.8098485733278933,0.9484498653823508,0.783147726096663,0.8063999064632553,37,9617,0.37751054763793945
A2,maxcut,14,5,0.1,14,1,4,0.8098485733278933,0.9781241075274341,0.773415965727976,,37,11216,0.3965275287628174
A2,maxcut,14,5,0.1,15,0,4,0.8613810242016736,0.9800235876054839,0.8608825600930498,0.8818451400193924,37,9357,0.32610249519348145
A2,maxcut,14,5,0.1,15,1,4,0.8613810242016736,0.9747744765991797,0.8608825600930498,,37,10550,0.3470611572265625
A2,dicut,14,3,0.1,0,0,4,0.9105811895903672,0.990061021376969,0.9105811895903672,0.9105811895903672,37,3406,0.0522770881652832
A2,dicut,14,3,0.1,0,1,4,0.9043134715673128,0.9857187564720842,0.9122671470012491,,37,3730,0.045651912689208984
A2,dicut,14,3,0.1,1,0,4,0.6142423243929929,0.950633058680315,0.6008920185875027,0.6008920185875027,37,3578,0.04300522804260254
A2,dicut,14,3,0.1,1,1,4,0.6142423243929929,0.9795876665692576,0.6008920185875027,,37,3663,0.04910445213317871
A2,dicut,14,3,0.1,2,0,4,0.615759812820886,0.9449567443044176,0.6137274511666774,0.6346032034556524,37,3387,0.04326009750366211
A2,dicut,14,3,0.1,2,1,4,0.6566261772039494,0.9685159915494858,0.6400623266391477,,37,3558,0.045000314712524414
A2,dicut,14,3,0.1,3,0,4,0.9785140289092297,0.9921615321198555,0.967255799191169,0.9704661142902027,37,3380,0.042368412017822266
A2,dicut,14,3,0.1,3,1,4,0.9785140289092297,0.9985397011395084,0.967255799191169,,37,3758,0.046955108642578125
A2,dicut,14,3,0.1,4,0,4,0.7078431171969013,0.9383554356324577,0.7175978798049547,0.7641626986166583,37,3411,0.040024518966674805
A2,dicut,14,3,0.1,4,1,4,0.7531788853384802,0.9707395660434939,0.730508385708269,,37,3805,0.051677703857421875
A2,dicut,14,3,0.1,5,0,4,0.9567219204053876,0.9967370092937539,0.9141491679411757,0.946607727637135,37,3517,0.04846334457397461
A2,dicut,14,3,0.1,5,1,4,0.990689361713846,0.9996812312020148,0.9314095952617273,,37,4172,0.0492243766784668
A2,dicut,14,3,0.1,6,0,4,0.8932829332938345,0.9852312905114315,0.9235166231465672,0.9489949335384822,37,3415,0.04561138153076172
A2,dicut,14,3,0.1,6,1,4,0.8932829332938345,0.9921614129264198,0.9235166231465672,,37,4160,0.055631160736083984
A2,dicut,14,3,0.1,7,0,4,0.7174820624429563,0.9771122367945908,0.7734573564884819,0.7796619533169558,37,3610,0.04630875587463379
A2,dicut,14,3,0.1,7,1,4,0.7174820624429563,0.9880353205776778,0.7734573564884819,,37,4062,0.05174136161804199
A2,dicut,14,3,0.1,8,0,4,0.9178947971356323,0.9955618809262503,0.8360593373016671,0.9177308298448276,37,3488,0.055678606033325195
A2,dicut,14,3,0.1,8,1,4,0.9178947971356323,0.9954455839252664,0.8360593373016671,,37,3945,0.04912877082824707
A2,dicut,14,3,0.1,9,0,4,0.950028920243274,0.9917471927977886,0.9169138881687782,0.950028920243274,37,3569,0.04766511917114258
A2,dicut,14,3,0.1,9,1,4,0.9792535815604922,0.9967121022858025,0.9403686718605022,,37,4106,0.054453134536743164
A2,dicut,14,3,0.1,10,0,4,0.8933892001760322,0.9814073847003822,0.8982380175971584,0.9006624263077214,37,3413,0.04758644104003906
