variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s
A0,maxcut,15,3,0.1,7,1,1,0.6834587139584677,0.9755817177598347,0.6834587139584677,,38,657,0.0330507755279541
A0,maxcut,15,3,0.1,8,0,1,0.7869415643006349,0.8897870350070392,0.7869415643006349,0.7869415643006349,38,61,0.03054356575012207
A0,maxcut,15,3,0.1,8,1,1,0.77458619120998,0.9586880048340922,0.77458619120998,,38,670,0.03321695327758789
A0,maxcut,15,3,0.1,9,0,1,0.8796117183454581,0.9568962453029428,0.8796117183454581,0.8796117183454581,38,161,0.033043622970581055
A0,maxcut,15,3,0.1,9,1,1,0.8796117183454581,0.9711241968588983,0.8796117183454581,,38,653,0.034371137619018555
A0,maxcut,15,3,0.1,10,0,1,0.8463979314398077,0.945121368802362,0.8463979314398077,0.8463979314398077,38,154,0.031117916107177734
A0,maxcut,15,3,0.1,10,1,1,0.8463979314398077,0.9775722430356806,0.8463979314398077,,38,503,0.03238344192504883
A0,maxcut,15,3,0.1,11,0,1,0.7253615472297967,0.9788681703586853,0.7253615472297967,0.7253615472297967,38,107,0.028787612915039062
A0,maxcut,15,3,0.1,11,1,1,0.7253615472297967,0.9679754328769405,0.7253615472297967,,38,515,0.030800580978393555
A0,maxcut,15,5,0.1,0,0,1,0.8045122004813791,0.9511986071722338,0.8045122004813791,0.8045122004813791,38,512,0.31027889251708984
A0,maxcut,15,5,0.1,0,1,1,0.5906302557834648,0.904968182890917,0.5906302557834648,,38,1640,0.3291037082672119
A0,maxcut,15,5,0.1,1,0,1,0.5071520769037395,0.8898817394626344,0.5071520769037395,0.5071520769037395,38,1518,0.28670501708984375
A0,maxcut,15,5,0.1,1,1,1,0.5071520769037395,0.8795271222330299,0.5071520769037395,,38,2070,0.2843668460845947
A0,maxcut,15,5,0.1,2,0,1,0.8024920871835115,0.9189467042640899,0.8024920871835115,0.8024920871835115,38,1158,0.2774391174316406
A0,maxcut,15,5,0.1,2,1,1,0.8024920871835115,0.943442963134632,0.8024920871835115,,38,1990,0.28955817222595215
A0,maxcut,15,5,0.1,3,0,1,0.864605946267547,0.9752277808364722,0.864605946267547,0.864605946267547,38,1128,0.29860639572143555
A0,maxcut,15,5,0.1,3,1,1,0.864605946267547,0.9810986352778074,0.864605946267547,,38,2268,0.30051136016845703
A0,maxcut,15,5,0.1,4,0,1,0.83863937376759,0.9557409103295373,0.83863937376759,0.83863937376759,38,810,0.36630821228027344
A0,maxcut,15,5,0.1,4,1,1,0.83863937376759,0.9600763534568226,0.83863937376759,,38,1958,0.4328646659851074
A0,maxcut,15,5,0.1,5,0,1,0.896736882067136,0.9484197390008801,0.896736882067136,0.896736882067136,38,955,0.30937933921813965
A0,maxcut,15,5,0.1,5,1,1,0.896736882067136,0.9627145768914339,0.896736882067136,,38,2359,0.3149409294128418
A0,maxcut,15,5,0.1,6,0,1,0.7455011443825366,0.927513128915383,0.7455011443825366,0.7455011443825366,38,496,0.30420827865600586
A0,maxcut,15,5,0.1,6,1,1,0.7455011443825366,0.9328618176002159,0.7455011443825366,,38,2378,0.3044240474700928
A0,maxcut,15,5,0.1,7,0,1,0.7574493759619385,0.9287728298391293,0.7574493759619385,0.7574493759619385,38,920,0.33243608474731445
A0,maxcut,15,5,0.1,7,1,1,0.7574493759619385,0.970616088995262,0.7574493759619385,,38,2300,0.32835984230041504
A0,maxcut,15,5,0.1,8,0,1,0.8599992339554716,0.9705707118092216,0.8599992339554716,0.8599992339554716,38,698,0.2841672897338867
A0,maxcut,15,5,0.1,8,1,1,0.8599992339554716,0.9692765699689299,0.8599992339554716,,38,1365,0.3009343147277832
A0,maxcut,15,5,0.1,9,0,1,0.8499697909068564,0.9659438059171132,0.8499697909068564,0.8499697909068564,38,1270,0.3188035488128662
A0,maxcut,15,5,0.1,9,1,1,0.8499697909068564,0.9729600347406944,0.8499697909068564,,38,2377,0.3210873603820801
A0,maxcut,15,5,0.1,10,0,1,0.7926728081625256,0.9695225941398578,0.7926728081625256,0.7926728081625256,38,814,0.3428189754486084
A0,maxcut,15,5,0.1,10,1,1,0.7926728081625256,0.9544377727514634,0.7926728081625256,,38,2046,0.2922217845916748
A0,maxcut,15,5,0.1,11,0,1,0.7151968327317347,0.9623052997903301,0.7151968327317347,0.7151968327317347,38,580,0.3374824523925781
A0,maxcut,15,5,0.1,11,1,1,0.7151968327317347,0.9623205402603162,0.7151968327317347,,38,1715,0.30550289154052734
A0,dicut,15,3,0.1,0,0,1,0.6806030480504907,0.9295956968687635,0.6806030480504907,0.6806030480504907,38,76,0.023110151290893555
A0,dicut,15,3,0.1,0,1,1,0.4559817661587065,0.8943220202614259,0.4559817661587065,,38,250,0.030684947967529297
A0,dicut,15,3,0.1,1,0,1,0.6258143072272885,0.968905917715353,0.6258143072272885,0.6258143072272885,38,176,0.022940874099731445
A0,dicut,15,3,0.1,1,1,1,0.6258143072272885,0.9796241372152776,0.6258143072272885,,38,176,0.023080110549926758
A0,dicut,15,3,0.1,2,0,1,0.8559173696784501,0.9678750809469613,0.8559173696784501,0.8559173696784501,38,145,0.02329850196838379
A0,dicut,15,3,0.1,2,1,1,0.8559173696784501,0.9892779308105509,0.8559173696784501,,38,447,0.02460503578186035
A0,dicut,15,3,0.1,3,0,1,0.7751830814866384,0.8363221301742758,0.7751830814866384,0.7751830814866384,38,59,0.023051977157592773
A0,dicut,15,3,0.1,3,1,1,0.6556233291378746,0.9277298663010435,0.6556233291378746,,38,265,0.02461719512939453
A0,dicut,15,3,0.1,4,0,1,0.9378528798745319,0.9910619947584085,0.9378528798745319,0.9378528798745319,38,224,0.024265050888061523
A0,dicut,15,3,0.1,4,1,1,0.9355343485989821,0.9920828739331881,0.9355343485989821,,38,552,0.025255441665649414
A0,dicut,15,3,0.1,5,0,1,0.4781701738853202,0.8006122683282723,0.4781701738853202,0.4781701738853202,38,105,0.025739192962646484
A0,dicut,15,3,0.1,5,1,1,0.5215381766322429,0.9026709251125461,0.5215381766322429,,38,569,0.027828216552734375
A0,dicut,15,3,0.1,6,0,1,0.8678375050616689,0.9667196909916442,0.8678375050616689,0.8678375050616689,38,136,0.026159286499023438
A0,dicut,15,3,0.1,6,1,1,0.8678375050616689,0.9791322376413161,0.8678375050616689,,38,467,0.0277712345123291
