variant,oracle,n,k,eps,seed,adversarial,min_ratio,mean_ratio,n_checkpoints,total_queries,wall_s
A1,maxcut,15,5,0.1,12,0,0.5311927550253956,0.8177398925722589,48,280,0.3946518898010254
A1,maxcut,15,5,0.1,12,1,0.4125000110655289,0.7595202851683522,48,4740,0.4102046489715576
A1,maxcut,15,5,0.1,13,0,0.5605827385114514,0.7725752895383254,48,1608,0.3843820095062256
A1,maxcut,15,5,0.1,13,1,0.5605827385114514,0.753292122557685,48,4934,0.3769187927246094
A1,maxcut,15,5,0.1,14,0,0.3152105512210766,0.7299815103410033,48,1339,0.4406931400299072
A1,maxcut,15,5,0.1,14,1,0.3152105512210766,0.6467076288495837,48,2233,0.41172194480895996
A1,maxcut,15,5,0.1,15,0,0.6431570303151105,0.8978145966439927,48,1355,0.3549325466156006
A1,maxcut,15,5,0.1,15,1,0.7156224138956829,0.8866247234544513,48,3645,0.35315561294555664
A1,maxcut,15,5,0.1,16,0,0.5492590049601965,0.8320700006342024,48,2188,0.42550182342529297
A1,maxcut,15,5,0.1,16,1,0.6214973694825221,0.859010049280375,48,6662,0.4362215995788574
A1,maxcut,15,5,0.1,17,0,0.5756126332544775,0.7075809103520602,48,1025,0.3999209403991699
A1,maxcut,15,5,0.1,17,1,0.5947964802260838,0.7440081983581736,48,1602,0.42429280281066895
A1,maxcut,15,5,0.1,18,0,0.6245038242385176,0.7293967426334614,48,966,0.38009214401245117
A1,maxcut,15,5,0.1,18,1,0.6057155161984239,0.8751376594940784,48,4345,0.3787722587585449
A1,maxcut,15,5,0.1,19,0,0.32249483260640216,0.6998602324177435,48,1799,0.38466501235961914
A1,maxcut,15,5,0.1,19,1,0.32249483260640216,0.6755439461799103,48,4330,0.3839282989501953
A1,maxcut,15,5,0.1,20,0,0.4365721425093161,0.7818926421450216,48,1304,0.38283514976501465
A1,maxcut,15,5,0.1,20,1,0.4365721425093161,0.7460847274828057,48,1848,0.4818556308746338
A1,maxcut,15,5,0.1,21,0,0.5379624235132693,0.7503451177570905,48,834,0.3228952884674072
A1,maxcut,15,5,0.1,21,1,0.5379624235132693,0.7496589084117161,48,2983,0.329939603805542
A1,maxcut,15,5,0.1,22,0,0.6805000980009177,0.8152975360098619,48,1150,0.35394835472106934
A1,maxcut,15,5,0.1,22,1,0.7177651036402003,0.8238548377892035,48,6899,0.37680959701538086
A1,maxcut,15,5,0.1,23,0,0.4995897317253906,0.6813379303262851,48,226,0.3396589756011963
A1,maxcut,15,5,0.1,23,1,0.4995897317253906,0.7520718881733753,48,5861,0.3495335578918457
A1,maxcut,15,5,0.1,24,0,0.2962466914786336,0.61840317794408,48,2440,0.39367222785949707
A1,maxcut,15,5,0.1,24,1,0.2962466914786336,0.5709286177705848,48,3784,0.39408445358276367
A1,dicut,15,3,0.1,0,0,0.6201167277799553,0.8111645435282441,48,170,0.03159141540527344
A1,dicut,15,3,0.1,0,1,0.41802174717855584,0.6756422644195826,48,558,0.03357815742492676
A1,dicut,15,3,0.1,1,0,0.6345988140957031,0.9835146728645133,48,147,0.030899524688720703
A1,dicut,15,3,0.1,1,1,0.6345988140957031,0.9555647223097886,48,635,0.03227400779724121
A1,dicut,15,3,0.1,2,0,0.424521659282982,0.631836772492851,48,439,0.03297162055969238
A1,dicut,15,3,0.1,2,1,0.424521659282982,0.6225516511513285,48,1012,0.03533124923706055
A1,dicut,15,3,0.1,3,0,0.4050607513238342,0.502340247346624,48,165,0.03160572052001953
A1,dicut,15,3,0.1,3,1,0.4050607513238342,0.5299364913834631,48,635,0.032886505126953125
A1,dicut,15,3,0.1,4,0,0.7643152455687874,0.869271739276393,48,370,0.03216242790222168
A1,dicut,15,3,0.1,4,1,0.7898638109665002,0.8668644346106001,48,1064,0.03391218185424805
A1,dicut,15,3,0.1,5,0,0.47242558076652696,0.7197869012893451,48,279,0.03527116775512695
A1,dicut,15,3,0.1,5,1,0.4668172939919626,0.6656539722586545,48,756,0.03526759147644043
A1,dicut,15,3,0.1,6,0,0.4348857551429332,0.6389578148120578,48,614,0.03652334213256836
A1,dicut,15,3,0.1,6,1,0.4348857551429332,0.6112691180951084,48,1265,0.036615848541259766
A1,dicut,15,3,0.1,7,0,0.7883993226687025,0.878044364275102,48,316,0.033969879150390625
A1,dicut,15,3,0.1,7,1,0.7883993226687025,0.8598719265188127,48,1416,0.03635048866271973
A1,dicut,15,3,0.1,8,0,0.4587574916794031,0.9087598011223342,48,329,0.03399920463562012
A1,dicut,15,3,0.1,8,1,0.4587574916794031,0.8674355500362961,48,1153,0.03664660453796387
A1,dicut,15,3,0.1,9,0,0.5255046511925854,0.7346134301553913,48,393,0.03610539436340332
A1,dicut,15,3,0.1,9,1,0.5255046511925854,0.6995784374307185,48,1329,0.038072824478149414
A1,dicut,15,3,0.1,10,0,0.5948167819057254,0.9449507467196857,48,151,0.033807992935180664
A1,dicut,15,3,0.1,10,1,0.5948167819057254,0.9659964289849876,48,605,0.03528308868408203
A1,dicut,15,3,0.1,11,0,0.45053564205367036,0.8648484088944359,48,213,0.033242225646972656
A1,dicut,15,3,0.1,11,1,0.45053564205367036,0.9640200498786416,48,959,0.03561544418334961
A1,dicut,15,3,0.1,12,0,0.45096952431740017,0.63203024542431,48,209,0.03311896324157715
A1,dicut,15,3,0.1,12,1,0.45096952431740017,0.5009165417893559,48,636,0.03396773338317871
A1,dicut,15,3,0.1,13,0,0.4127505272596228,0.7696474084937451,48,282,0.032816410064697266
A1,dicut,15,3,0.1,13,1,0.4127505272596228,0.7840174724653494,48,1292,0.035717010498046875
A1,dicut,15,3,0.1,14,0,0.38374821875313114,0.4233125959561475,48,172,0.0349583625793457
A1,dicut,15,3,0.1,14,1,0.38374821875313114,0.6047621415033243,48,615,0.03207111358642578
A1,dicut,15,3,0.1,15,0,0.44413157102931844,0.7611233345802946,48,289,0.03299140930175781
A1,dicut,15,3,0.1,15,1,0.44413157102931844,0.7442786738463272,48,844,0.03418707847595215
A1,dicut,15,3,0.1,16,0,0.6849267937330421,0.9226245720046252,48,156,0.03212285041809082
A1,dicut,15,3,0.1,16,1,0.7464964562248484,0.8454575044295337,48,709,0.03365969657897949
A1,dicut,15,3,0.1,17,0,0.7156904237792006,0.8936574505963806,47,263,0.0321354866027832
A1,dicut,15,3,0.1,17,1,0.7156904237792006,0.8430610539603441,47,1617,0.035021305084228516
A1,dicut,15,3,0.1,18,0,0.7325105502570849,0.805066253307179,48,228,0.03362751007080078
A1,dicut,15,3,0.1,18,1,0.7325105502570849,0.8086122482520114,48,778,0.03528785705566406
A1,dicut,15,3,0.1,19,0,0.5688515975953378,0.9689592607947407,48,192,0.033045291900634766
A1,dicut,15,3,0.1,19,1,0.5688515975953378,0.9378038236305791,48,796,0.03605055809020996
A1,dicut,15,3,0.1,20,0,0.48002674100815856,0.7713466573219704,48,295,0.03337812423706055
A1,dicut,15,3,0.1,20,1,0.38262087087360747,0.587631823587609,48,631,0.033409833908081055
A1,dicut,15,3,0.1,21,0,0.46099113837379196,0.9391320582973831,48,193,0.03290534019470215
A1,dicut,15,3,0.1,21,1,0.46099113837379196,0.9008099463583754,48,1192,0.036385536193847656
A1,dicut,15,3,0.1,22,0,0.6114352336288951,0.7493974411099115,48,491,0.03256416320800781
A1,dicut,15,3,0.1,22,1,0.7144203785140452,0.8403400711044654,48,1328,0.0349421501159668
A1,dicut,15,3,0.1,23,0,0.5069101621565416,0.8831319332778828,48,294,0.03827214241027832
A1,dicut,15,3,0.1,23,1,0.5069101621565416,0.8929692209000532,48,1690,0.04196619987487793
A1,dicut,15,3,0.1,24,0,0.46992978490326087,0.7112765150415877,48,322,0.03186345100402832
A1,dicut,15,3,0.1,24,1,0.46992978490326087,0.7232718467955279,48,850,0.03312492370605469
A1,dicut,15,5,0.1,0,0,0.38042926105852154,0.5131650999766658,48,1052,0.3254835605621338
A1,dicut,15,5,0.1,0,1,0.38042926105852154,0.48769092372969264,48,2238,0.3261401653289795
A1,dicut,15,5,0.1,1,0,0.5713879299361807,0.7316303411325489,48,1416,0.3046698570251465
A1,dicut,15,5,0.1,1,1,0.5268604875553964,0.7531205439683134,48,6954,0.32494044303894043
A1,dicut,15,5,0.1,2,0,0.37700780985382976,0.7955857394853411,48,827,0.33564257621765137
A1,dicut,15,5,0.1,2,1,0.37700780985382976,0.694522559076768,48,2989,0.34790730476379395
A1,dicut,15,5,0.1,3,0,0.429462180421381,0.5848084852969665,48,702,0.34218764305114746
A1,dicut,15,5,0.1,3,1,0.43610903345765417,0.5634234535011124,48,1757,0.3327507972717285
A1,dicut,15,5,0.1,4,0,0.5365570344370696,0.6536894155357239,48,1876,0.4014768600463867
A1,dicut,15,5,0.1,4,1,0.5151935752942284,0.5774600288556904,48,5542,0.38846802711486816
A1,dicut,15,5,0.1,5,0,0.4467227367064142,0.7429530899268698,48,224,0.3403294086456299
A1,dicut,15,5,0.1,5,1,0.4467227367064142,0.7697520713883345,48,807,0.34945225715637207
