variant,oracle,n,k,eps,seed,adversarial,alg_seeds,min_ratio,mean_ratio,mean_min_ratio,exp_min_ratio,n_checkpoints,total_queries,wall_s,series
A2,dicut,14,5,0.1,7,0,4,0.7871904673602236,0.9651149304764772,0.7426037623825331,0.800658357291678,37,9989,0.3047208786010742,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,7,1,4,0.7871904673602236,0.9881990936387074,0.7881883013123029,,37,11000,0.3066341876983642,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,8,0,4,0.7012245043574193,0.966823304128868,0.7380739875768841,0.7392067440055308,37,9910,0.2973549365997314,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,8,1,4,0.7012245043574193,0.9672993429998136,0.7380739875768841,,37,11597,0.3082516193389892,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,9,0,4,0.8360705819231273,0.9805861493681496,0.8690603945760991,0.8837197954475877,37,10171,0.3212039470672607,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,9,1,4,0.8360705819231273,0.9914442063251367,0.8690603945760991,,37,11878,0.3229794502258301,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,10,0,4,0.8301870206228498,0.9482220761827094,0.8496164471378413,0.8788818349177387,37,10146,0.3017492294311523,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,10,1,4,0.8301870206228498,0.951046087076018,0.8311794297731131,,37,12025,0.3274190425872803,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,11,0,4,0.8866705657484558,0.9828414667303754,0.8980711654489575,0.9228575915512998,37,9780,0.3155677318572998,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,11,1,4,0.8866705657484558,0.990775414702943,0.8980711654489575,,37,12219,0.3017988204956054,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,12,0,4,0.942064818188607,0.9908250937510876,0.9104140368017108,0.9248978322545588,37,10010,0.2875950336456299,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,12,1,4,0.942064818188607,0.9830260441375244,0.942064818188607,,37,10810,0.2916891574859619,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,13,0,4,0.8592191579165187,0.9813812663784324,0.8744450766900408,0.8858813827391584,37,10063,0.3425400257110595,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,13,1,4,0.8992176059427825,0.9904985700262222,0.8989179642743216,,37,10213,0.3296258449554443,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,14,0,4,0.9138073309176108,0.9672083675935652,0.9191634567270122,0.9191634567270122,37,9734,0.3132071495056152,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,14,1,4,0.9324013121177684,0.9850149102422204,0.9324013121177684,,37,11274,0.3081083297729492,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,15,0,4,0.8447396218873139,0.9599143466903528,0.8447396218873139,0.8447396218873139,37,10039,0.2885880470275879,A2 (two-pass + offline combine)
A2,dicut,14,5,0.1,15,1,4,0.8565736704447775,0.9919688904801324,0.8565736704447775,,37,12143,0.3155303001403808,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,0,0,4,0.8902538541837038,0.9568250594083912,0.8920438710549854,0.900125571529129,37,4166,0.0687446594238281,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,0,1,4,0.8902538541837038,0.9921269250345888,0.8876939108276476,,37,6238,0.0853207111358642,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,1,0,4,0.5697020647896741,0.9547160269687246,0.5895939095700126,0.5964139544867794,37,4488,0.067781925201416,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,1,1,4,0.5697020647896741,0.9709253487750852,0.5895939095700126,,37,7119,0.0909392833709716,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,2,0,4,0.8105027888221732,0.9314970564949806,0.7527090001446212,0.7527090001446212,36,4382,0.0720689296722412,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,2,1,4,0.8105027888221732,0.9775017920005694,0.7527090001446212,,36,7465,0.1105501651763916,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,3,0,4,0.8199051234922202,0.977274265130421,0.8786265648270202,0.9146596044039684,36,6475,0.0989933013916015,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,3,1,4,0.8199051234922202,0.9938164880703804,0.8942859252170476,,36,15390,0.1999495029449463,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,4,0,4,0.8206773438492762,0.9579134693084403,0.8553687451678527,0.9074662709465868,37,4911,0.1045358180999755,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,4,1,4,0.9152866575494152,0.9909625509592016,0.8978692750529235,,37,7198,0.0915672779083252,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,5,0,4,0.8088051130867822,0.9560308151272014,0.8088051130867822,0.8088051130867822,37,4052,0.0700340270996093,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,5,1,4,0.8997840275561921,0.9939870006633188,0.8997840275561921,,37,10082,0.1073272228240966,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,6,0,4,0.8213742760880695,0.9664076982442392,0.8148298725083553,0.8213742760880695,37,5175,0.0718250274658203,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,6,1,4,0.8213742760880695,0.9404384883577868,0.8170113403682601,,37,14316,0.1170980930328369,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,7,0,4,0.9100873378164556,0.9951398560981868,0.9046018400212668,0.9100873378164556,37,3744,0.0673377513885498,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,7,1,4,1.0,1.0,0.972036336658925,,37,5366,0.0802240371704101,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,8,0,4,0.7603375447479752,0.9299380589874486,0.7331771023036767,0.8144389958005784,37,4459,0.0668723583221435,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,8,1,4,0.8976754804709018,0.9709766156624808,0.9010383529199482,,37,4219,0.0711967945098877,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,9,0,4,0.8431537432582731,0.990515166019615,0.908807819890026,0.916064638736304,37,4040,0.0619761943817138,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,9,1,4,0.84265946656079,0.9938475650818308,0.9369295208987668,,37,6060,0.0797076225280761,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,10,0,4,0.8408916960506099,0.9476671364331783,0.8408916960506099,0.8408916960506099,37,4458,0.0689647197723388,A2 (two-pass + offline combine)
A2,covcost,14,3,0.1,10,1,4,0.9806283052257349,0.9994764406817768,0.8985454024659814,,37,6832,0.0889773368835449,A2 (two-pass + offline combine)
