special_case,seed,shape,t,max_abs_diff,pass
unscion_llm_block,1,"(12, 6)",0.1,2.7755575615628914e-17,True
unscion_llm_block,1,"(12, 6)",1.0,2.220446049250313e-16,True
unscion_llm_block,1,"(12, 6)",3.7,0.0,True
unscion_llm_block,2,"(12, 6)",0.01,5.551115123125783e-17,True
unscion_llm_block,2,"(12, 6)",0.1,1.1102230246251565e-16,True
unscion_llm_block,2,"(12, 6)",1.0,2.220446049250313e-16,True
unscion_llm_block,2,"(12, 6)",3.7,0.0,True
unscion_llm_block,3,"(12, 6)",0.01,0.0,True
unscion_llm_block,3,"(12, 6)",0.1,1.1102230246251565e-16,True
unscion_llm_block,3,"(12, 6)",1.0,2.220446049250313e-16,True
unscion_llm_block,3,"(12, 6)",3.7,0.0,True
unscion_llm_block,4,"(12, 6)",0.01,4.440892098500626e-16,True
unscion_llm_block,4,"(12, 6)",0.1,5.551115123125783e-17,True
unscion_llm_block,4,"(12, 6)",1.0,2.220446049250313e-16,True
unscion_llm_block,4,"(12, 6)",3.7,0.0,True
unscion_llm_embed,0,"(12, 20)",0.01,0.0,True
unscion_llm_embed,0,"(12, 20)",0.1,0.0,True
unscion_llm_embed,0,"(12, 20)",1.0,0.0,True
unscion_llm_embed,0,"(12, 20)",3.7,0.0,True
unscion_llm_embed,1,"(12, 20)",0.01,0.0,True
unscion_llm_embed,1,"(12, 20)",0.1,0.0,True
unscion_llm_embed,1,"(12, 20)",1.0,0.0,True
unscion_llm_embed,1,"(12, 20)",3.7,0.0,True
unscion_llm_embed,2,"(12, 20)",0.01,0.0,True
unscion_llm_embed,2,"(12, 20)",0.1,0.0,True
unscion_llm_embed,2,"(12, 20)",1.0,0.0,True
unscion_llm_embed,2,"(12, 20)",3.7,0.0,True
unscion_llm_embed,3,"(12, 20)",0.01,0.0,True
unscion_llm_embed,3,"(12, 20)",0.1,0.0,True
unscion_llm_embed,3,"(12, 20)",1.0,0.0,True
unscion_llm_embed,3,"(12, 20)",3.7,0.0,True
unscion_llm_embed,4,"(12, 20)",0.01,0.0,True
unscion_llm_embed,4,"(12, 20)",0.1,0.0,True
unscion_llm_embed,4,"(12, 20)",1.0,0.0,True
unscion_llm_embed,4,"(12, 20)",3.7,0.0,True
unscion_llm_embed,0,"(16, 16)",0.01,0.0,True
unscion_llm_embed,0,"(16, 16)",0.1,0.0,True
unscion_llm_embed,0,"(16, 16)",1.0,0.0,True
unscion_llm_embed,0,"(16, 16)",3.7,0.0,True
unscion_llm_embed,1,"(16, 16)",0.01,0.0,True
unscion_llm_embed,1,"(16, 16)",0.1,0.0,True
unscion_llm_embed,1,"(16, 16)",1.0,0.0,True
unscion_llm_embed,1,"(16, 16)",3.7,0.0,True
unscion_llm_embed,2,"(16, 16)",0.01,0.0,True
unscion_llm_embed,2,"(16, 16)",0.1,0.0,True
unscion_llm_embed,2,"(16, 16)",1.0,0.0,True
unscion_llm_embed,2,"(16, 16)",3.7,0.0,True
unscion_llm_embed,3,"(16, 16)",0.01,0.0,True
unscion_llm_embed,3,"(16, 16)",0.1,0.0,True
unscion_llm_embed,3,"(16, 16)",1.0,0.0,True
unscion_llm_embed,3,"(16, 16)",3.7,0.0,True
unscion_llm_embed,4,"(16, 16)",0.01,0.0,True
unscion_llm_embed,4,"(16, 16)",0.1,0.0,True
unscion_llm_embed,4,"(16, 16)",1.0,0.0,True
unscion_llm_embed,4,"(16, 16)",3.7,0.0,True
unscion_llm_embed,0,"(30, 8)",0.01,0.0,True
unscion_llm_embed,0,"(30, 8)",0.1,0.0,True
unscion_llm_embed,0,"(30, 8)",1.0,0.0,True
unscion_llm_embed,0,"(30, 8)",3.7,0.0,True
unscion_llm_embed,1,"(30, 8)",0.01,0.0,True
unscion_llm_embed,1,"(30, 8)",0.1,0.0,True
unscion_llm_embed,1,"(30, 8)",1.0,0.0,True
unscion_llm_embed,1,"(30, 8)",3.7,0.0,True
unscion_llm_embed,2,"(30, 8)",0.01,0.0,True
unscion_llm_embed,2,"(30, 8)",0.1,0.0,True
unscion_llm_embed,2,"(30, 8)",1.0,0.0,True
unscion_llm_embed,2,"(30, 8)",3.7,0.0,True
unscion_llm_embed,3,"(30, 8)",0.01,0.0,True
unscion_llm_embed,3,"(30, 8)",0.1,0.0,True
unscion_llm_embed,3,"(30, 8)",1.0,0.0,True
unscion_llm_embed,3,"(30, 8)",3.7,0.0,True
unscion_llm_embed,4,"(30, 8)",0.01,0.0,True
unscion_llm_embed,4,"(30, 8)",0.1,0.0,True
unscion_llm_embed,4,"(30, 8)",1.0,0.0,True
unscion_llm_embed,4,"(30, 8)",3.7,0.0,True
normalized_gd,0,"(8,)",0.01,0.0,True
normalized_gd,0,"(8,)",0.1,0.0,True
normalized_gd,0,"(8,)",1.0,0.0,True
normalized_gd,0,"(8,)",3.7,4.440892098500626e-16,True
normalized_gd,1,"(8,)",0.01,0.0,True
normalized_gd,1,"(8,)",0.1,0.0,True
normalized_gd,1,"(8,)",1.0,0.0,True
normalized_gd,1,"(8,)",3.7,2.220446049250313e-16,True
normalized_gd,2,"(8,)",0.01,0.0,True
normalized_gd,2,"(8,)",0.1,0.0,True
normalized_gd,2,"(8,)",1.0,0.0,True
normalized_gd,2,"(8,)",3.7,4.440892098500626e-16,True
normalized_gd,3,"(8,)",0.01,0.0,True
normalized_gd,3,"(8,)",0.1,0.0,True
normalized_gd,3,"(8,)",1.0,0.0,True
normalized_gd,3,"(8,)",3.7,8.881784197001252e-16,True
normalized_gd,4,"(8,)",0.01,0.0,True
normalized_gd,4,"(8,)",0.1,0.0,True
normalized_gd,4,"(8,)",1.0,0.0,True
normalized_gd,4,"(8,)",3.7,4.440892098500626e-16,True
normalized_gd,0,"(16,)",0.01,0.0,True
normalized_gd,0,"(16,)",0.1,0.0,True
normalized_gd,0,"(16,)",1.0,0.0,True
normalized_gd,0,"(16,)",3.7,1.1102230246251565e-16,True
normalized_gd,1,"(16,)",0.01,0.0,True
normalized_gd,1,"(16,)",0.1,2.7755575615628914e-17,True
normalized_gd,1,"(16,)",1.0,0.0,True
normalized_gd,1,"(16,)",3.7,4.440892098500626e-16,True
normalized_gd,2,"(16,)",0.01,0.0,True
normalized_gd,2,"(16,)",0.1,0.0,True
normalized_gd,2,"(16,)",1.0,0.0,True
normalized_gd,2,"(16,)",3.7,4.440892098500626e-16,True
normalized_gd,3,"(16,)",0.01,0.0,True
normalized_gd,3,"(16,)",0.1,0.0,True
normalized_gd,3,"(16,)",1.0,0.0,True
normalized_gd,3,"(16,)",3.7,1.1102230246251565e-16,True
normalized_gd,4,"(16,)",0.01,0.0,True
normalized_gd,4,"(16,)",0.1,0.0,True
normalized_gd,4,"(16,)",1.0,0.0,True
normalized_gd,4,"(16,)",3.7,4.440892098500626e-16,True
normalized_gd,0,"(32,)",0.01,0.0,True
normalized_gd,0,"(32,)",0.1,0.0,True
normalized_gd,0,"(32,)",1.0,0.0,True
normalized_gd,0,"(32,)",3.7,8.881784197001252e-16,True
normalized_gd,1,"(32,)",0.01,0.0,True
normalized_gd,1,"(32,)",0.1,1.1102230246251565e-16,True
normalized_gd,1,"(32,)",1.0,0.0,True
normalized_gd,1,"(32,)",3.7,2.220446049250313e-16,True
normalized_gd,2,"(32,)",0.01,0.0,True
normalized_gd,2,"(32,)",0.1,0.0,True
normalized_gd,2,"(32,)",1.0,0.0,True
normalized_gd,2,"(32,)",3.7,4.440892098500626e-16,True
normalized_gd,3,"(32,)",0.01,0.0,True
normalized_gd,3,"(32,)",0.1,0.0,True
normalized_gd,3,"(32,)",1.0,0.0,True
normalized_gd,3,"(32,)",3.7,2.220446049250313e-16,True
normalized_gd,4,"(32,)",0.01,0.0,True
normalized_gd,4,"(32,)",0.1,8.673617379884035e-19,True
normalized_gd,4,"(32,)",1.0,0.0,True
